"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Diapering","Pee","21-Nov.-2018 8:07 am","21-Nov.-2018 8:07 am",""
"Feeding","Right Breast","21-Nov.-2018 7:45 am","21-Nov.-2018 7:52 am",""
"Sleep","","20-Nov.-2018 11:14 pm","21-Nov.-2018 7:35 am",""
"Feeding","Left Breast","20-Nov.-2018 10:48 pm","20-Nov.-2018 10:57 pm",""
"Diapering","Pee","20-Nov.-2018 10:46 pm","20-Nov.-2018 10:46 pm",""
"Health","Medication","20-Nov.-2018 10:45 pm","20-Nov.-2018 10:45 pm","Cough"
"Diapering","Pee","20-Nov.-2018 10:39 pm","20-Nov.-2018 10:39 pm",""
"Feeding","Meal","20-Nov.-2018 9:55 pm","20-Nov.-2018 9:55 pm","rice pudding "
"Feeding","Meal","20-Nov.-2018 7:30 pm","20-Nov.-2018 7:30 pm","chicken and advocado "
"Sleep","","20-Nov.-2018 5:37 pm","20-Nov.-2018 7:17 pm",""
"Feeding","Right Breast","20-Nov.-2018 5:21 pm","20-Nov.-2018 5:36 pm",""
"Feeding","Right Breast","20-Nov.-2018 3:54 pm","20-Nov.-2018 3:57 pm",""
"Diapering","Pee & Poo","20-Nov.-2018 3:00 pm","20-Nov.-2018 3:00 pm",""
"Sleep","","20-Nov.-2018 1:43 pm","20-Nov.-2018 2:33 pm",""
"Feeding","Left Breast","20-Nov.-2018 1:32 pm","20-Nov.-2018 1:43 pm",""
"Diapering","Pee & Poo","20-Nov.-2018 12:25 pm","20-Nov.-2018 12:25 pm",""
"Feeding","Right Breast","20-Nov.-2018 11:24 am","20-Nov.-2018 11:29 am",""
"Feeding","Meal","20-Nov.-2018 10:08 am","20-Nov.-2018 10:08 am",""
"Diapering","Pee & Poo","20-Nov.-2018 10:00 am","20-Nov.-2018 10:00 am",""
"Sleep","","20-Nov.-2018 3:15 am","20-Nov.-2018 9:49 am",""
"Feeding","Left Breast","20-Nov.-2018 2:59 am","20-Nov.-2018 3:04 am",""
"Sleep","","19-Nov.-2018 10:01 pm","20-Nov.-2018 2:52 am",""
